200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000,8200,8400,8600,8800,9000,9200,9400,9600,9800,10000,10200,10400,10600,10800,11000,11200,11400,11600,11800,12000,12200,12400,12600,12800,13000,13200,13400,13600,13800,14000,14200,14400,14600,14800,15000,15200,15400,15600,15800,16000,16200,16400,16600,16800,17000,17200,17400,17600,17800,18000,18200,18400,18600,18800,19000,19200,19400,19600,19800,20000,20200
3.92,5.25,6.52,7.78,9.04,10.3,11.57,12.83,14.09,15.35,18.12,19.52,20.91,22.31,23.71,25.11,26.51,27.91,29.31,30.71,32.1,33.5,34.9,36.3,37.7,39.1,40.5,41.9,43.29,44.69,46.09,47.49,48.89,50.29,51.69,53.09,54.48,55.88,57.28,58.68,60.08,61.48,62.88,64.28,65.67,67.07,68.47,69.87,71.27,72.67,74.07,75.47,76.86,78.26,79.66,81.06,82.46,83.86,85.26,86.66,88.05,89.45,90.85,92.25,93.65,95.05,96.45,97.85,99.24,100.64,102.04,103.44,104.84,106.24,107.64,109.04,110.43,111.83,113.23,114.63,116.03,117.43,118.83,120.23,121.62,123.02,124.42,125.82,127.22,128.62,130.02,131.42,132.81,134.21,135.61,137.01,138.41,139.81,141.21,142.61,445.97
